ime_poti,cas_poti,tezavnost_poti,vrh 
Letuš - Sveta Mati Božja na Čreti,170,lahka označena pot,Sveta Mati Božja na Čreti
Braslovško jezero - Sveta Mati Božja na Čreti,170,lahka označena pot,Sveta Mati Božja na Čreti
Potok (Mostni graben) - Sveta Mati Božja na Čreti (mimo Doma na Farbanci),95,lahka označena pot,Sveta Mati Božja na Čreti
Kokarje (ŠRC Laze) - Sveta Mati Božja na Čreti (preko Tajne),100,lahka označena pot,Sveta Mati Božja na Čreti
Kokarje (ŠRC Laze) - Sveta Mati Božja na Čreti (mimo Doma na Farbanci),120,lahka označena pot,Sveta Mati Božja na Čreti
Nevlje pri Kamniku - Vovar,90,lahka neoznačena steza,Vovar
Gozd - Vovar (pot razgleda),45,lahka neoznačena steza,Vovar
Brezje nad Kamnikom - Vovar (zahodna pot),60,lahka neoznačena steza,Vovar
Brezje nad Kamnikom - Vovar (severna pot),60,lahka neoznačena steza,Vovar
Gozd - Vovar (severna pot),45,lahka neoznačena steza,Vovar
Gozd - Vovar (vzhodna pot),45,lahka neoznačena steza,Vovar
Potoče - Planinska koča pri Franciju (po markirani poti),75,lahka označena pot,Planinska koča pri Franciju
Potoče - Planinska koča pri Franciju (po kolovozu),75,lahka označena pot,Planinska koča pri Franciju
Potoče - Planinska koča pri Franciju (Juhantova pot),65,lahka neoznačena steza,Planinska koča pri Franciju
Preddvor - Planinska koča pri Franciju (po markirani poti),90,lahka označena pot,Planinska koča pri Franciju
Preddvor - Planinska koča pri Franciju (Juhantova pot),80,lahka neoznačena steza,Planinska koča pri Franciju
Gornji Grad - Sveti Lenart nad Gornjim Gradom,95,lahka označena pot,Sveti Lenart nad Gornjim Gradom
Pri cerkvi - Sveti Lenart nad Gornjim Gradom,3,lahka označena pot,Sveti Lenart nad Gornjim Gradom
Senično - Planica (vzletišče Gozd) (položna pot),75,lahka neoznačena steza,Planica (vzletišče Gozd)
Zalog - Planica (vzletišče Gozd),90,lahka označena pot,Planica (vzletišče Gozd)
Senično - Planica (vzletišče Gozd) (strma pot),70,lahka neoznačena steza,Planica (vzletišče Gozd)
Zavetišče v Gozdu - Planica (vzletišče Gozd),5,lahka neoznačena steza,Planica (vzletišče Gozd)
Tržič - Planica (vzletišče Gozd),80,lahka označena pot,Planica (vzletišče Gozd)
Križe - Planica (vzletišče Gozd),80,lahka označena pot,Planica (vzletišče Gozd)
Pristava - Planica (vzletišče Gozd),80,lahka neoznačena steza,Planica (vzletišče Gozd)
Robanov kot - Matkov kot (pot RMK),1260,zelo zahtevno brezpotje,Matkov kot
Možjanca - Skutman,85,lahka neoznačena steza,Skutman
Spodnja Kokra - Skutman (čez Kopo),120,lahka neoznačena steza,Skutman
Spodnja postaja žičnice na Krvavec - Skutman (čez Kopo),105,lahka neoznačena steza,Skutman
Kokra (počivališče Kokra-sotočje) - Skutman,70,lahka neoznačena steza,Skutman
Možjanca - Skutman (čez Zapečnikovo planino),85,lahka neoznačena steza,Skutman
Žovneško jezero - Grmada (Dobrovlje),125,lahka označena pot,Grmada (Dobrovlje)
Letuš - Grmada (Dobrovlje),145,lahka označena pot,Grmada (Dobrovlje)
Braslovško jezero - Grmada (Dobrovlje),145,lahka označena pot,Grmada (Dobrovlje)
Laško - Sveti Lovrenc (Bašelj),20,lahka označena pot,Sveti Lovrenc (Bašelj)
Bašelj - Sveti Lovrenc (Bašelj),55,lahka označena pot,Sveti Lovrenc (Bašelj)
Bašelj - Sveti Lovrenc (Bašelj) (over Gradišče),70,lahka označena pot,Sveti Lovrenc (Bašelj)
Povlje - Sveti Lovrenc (Bašelj),45,lahka neoznačena steza,Sveti Lovrenc (Bašelj)
Babni Vrt - Sveti Lovrenc (Bašelj) (skozi gozd),50,lahka neoznačena steza,Sveti Lovrenc (Bašelj)
Golnik - Zavetišče v Gozdu,60,lahka označena pot,Zavetišče v Gozdu
Križe - Zavetišče v Gozdu,75,lahka označena pot,Zavetišče v Gozdu
Tržič - Zavetišče v Gozdu,75,lahka označena pot,Zavetišče v Gozdu
Zalog - Zavetišče v Gozdu,90,lahka označena pot,Zavetišče v Gozdu
Senično - Zavetišče v Gozdu (položna pot),75,lahka neoznačena steza,Zavetišče v Gozdu
Senično - Zavetišče v Gozdu (strma pot),65,lahka neoznačena steza,Zavetišče v Gozdu
Pristava - Zavetišče v Gozdu,75,lahka neoznačena steza,Zavetišče v Gozdu
Robanov kot - Robanova planina,60,lahka označena pot,Robanova planina
Terme Topolšica - Lomek (Lom),110,lahka označena pot,Lomek (Lom)
Terme Topolšica - Lomek (Lom) (lovska pot),110,lahka označena pot,Lomek (Lom)
Ljubno ob Savinji - Sveti Primož nad Ljubnim,60,lahka označena pot,Sveti Primož nad Ljubnim
Primož pri Ljubnem - Sveti Primož nad Ljubnim,20,lahka označena pot,Sveti Primož nad Ljubnim
Bašelj - Gradišče (Pustinjak) (mimo sv. Lovrenca),75,lahka označena pot,Gradišče (Pustinjak)
Bašelj - Gradišče (Pustinjak),45,lahka označena pot,Gradišče (Pustinjak)
Laško - Gradišče (Pustinjak),20,lahka označena pot,Gradišče (Pustinjak)
Povlje - Gradišče (Pustinjak),60,lahka neoznačena steza,Gradišče (Pustinjak)
Babni Vrt - Gradišče (Pustinjak) (skozi gozd in mimo sv. Lovrenca),75,lahka neoznačena steza,Gradišče (Pustinjak)
Vransko - Dom na Čreti,105,lahka označena pot,Dom na Čreti
Dom planincev Farbanca - Dom na Čreti,60,lahka označena pot,Dom na Čreti
Žovneško jezero - Dom na Čreti,150,lahka označena pot,Dom na Čreti
Braslovško jezero - Dom na Čreti,180,lahka označena pot,Dom na Čreti
Letuš - Dom na Čreti,180,lahka označena pot,Dom na Čreti
Kokarje (ŠRC Laze) - Dom na Čreti (preko Tajne),100,lahka označena pot,Dom na Čreti
Potok (Mostni graben) - Dom na Čreti (mimo Doma na Farbanci),95,lahka označena pot,Dom na Čreti
Kokarje (ŠRC Laze) - Dom na Čreti (mimo Doma na Farbanci),120,lahka označena pot,Dom na Čreti
Pred Belo - Slap Orglice,50,lahka neoznačena steza,Slap Orglice
Begunje (Krpin) - Sankaška koča (po kolovozu),60,lahka označena pot,Sankaška koča
 Begunje (Krpin) - Sankaška koča (ob smučišču),50,lahka označena pot,Sankaška koča
Begunje (PGD Begunje) - Sankaška koča (Petrova pot),50,lahka označena pot,Sankaška koča
Rodine - Sankaška koča,55,lahka neoznačena steza,Sankaška koča
Poljana (Završnica) - Mali vrh nad Završnico,35,lahka označena pot,Mali vrh nad Završnico
Žovneško jezero - Sveti Janez in Pavel (Dobrovlje),120,lahka označena pot,Sveti Janez in Pavel (Dobrovlje)
Letuš - Sveti Janez in Pavel (Dobrovlje),140,lahka označena pot,Sveti Janez in Pavel (Dobrovlje)
Braslovško jezero - Sveti Janez in Pavel (Dobrovlje),140,ni podatka,Sveti Janez in Pavel (Dobrovlje)
Laško - Dom na Lovrencu (Bašelj),15,lahka označena pot,Dom na Lovrencu (Bašelj)
Bašelj - Dom na Lovrencu (Bašelj),50,lahka označena pot,Dom na Lovrencu (Bašelj)
Povlje - Dom na Lovrencu (Bašelj),50,lahka neoznačena steza,Dom na Lovrencu (Bašelj)
Babni Vrt - Dom na Lovrencu (Bašelj) (skozi gozd),45,lahka neoznačena steza,Dom na Lovrencu (Bašelj)
Braslovško jezero - Bezovec (Dobrovlje) (mimo lovske koče),90,lahka označena pot,Bezovec (Dobrovlje)
Letuš - Bezovec (Dobrovlje) (mimo lovske koče),90,lahka označena pot,Bezovec (Dobrovlje)
Braslovško jezero - Bezovec (Dobrovlje) (mimo Covnikovega križa),90,lahka označena pot,Bezovec (Dobrovlje)
Letuš - Bezovec (Dobrovlje) (mimo Covnikovega križa),90,lahka označena pot,Bezovec (Dobrovlje)
Zgornji Tuhinj - Sveti Vid (nad Zgornjim Tuhinjem) (ob postajah križevega pota),50,lahka označena pot,Sveti Vid (nad Zgornjim Tuhinjem)
Zgornji Tuhinj - Sveti Vid (nad Zgornjim Tuhinjem) (po kolovozu),45,lahka označena pot,Sveti Vid (nad Zgornjim Tuhinjem)
Stahovica - Cerkev sv. Petra nad Črno pri Kamniku,73,lahka označena pot,Cerkev sv. Petra nad Črno pri Kamniku
Kokra (počivališče Kokra-sotočje) - Zapečnikova planina,60,lahka neoznačena steza,Zapečnikova planina
Možjanca - Zapečnikova planina,75,lahka neoznačena steza,Zapečnikova planina
Begunje (Krpin) - Sveti Peter nad Begunjami (po kolovozu),50,lahka označena pot,Sveti Peter nad Begunjami
Begunje (PGD Begunje) - Sveti Peter nad Begunjami (Petrova pot),40,lahka označena pot,Sveti Peter nad Begunjami
 Begunje (Krpin) - Sveti Peter nad Begunjami (ob smučišču),40,lahka označena pot,Sveti Peter nad Begunjami
Begunje (Krpin) - Sveti Peter nad Begunjami (čez plezalno steno),45,zelo zahtevna označena pot,Sveti Peter nad Begunjami
Rodine - Sveti Peter nad Begunjami (mimo Sankaške koče),60,ni podatka,Sveti Peter nad Begunjami
Spodnja Kokra - Dom Čemšenik,50,lahka označena pot,Dom Čemšenik
Stahovica - Sveti Primož nad Kamnikom,70,lahka označena pot,Sveti Primož nad Kamnikom
Klemenčevo - Korošaški slapovi,45,lahka neoznačena steza,Korošaški slapovi
Gozd - Razgledišče Skroti,15,lahka neoznačena steza,Razgledišče Skroti
Hruševka - Sveti Miklavž na Gori,30,ni podatka,Sveti Miklavž na Gori
Podljubelj - Tominčev slap,10,lahka označena pot,Tominčev slap
Adergas - Štefanja gora (mimo klopc),60,lahka označena pot,Štefanja gora
Adergas - Štefanja gora (mimo šterne),60,lahka označena pot,Štefanja gora
Olševek - Štefanja gora,55,lahka označena pot,Štefanja gora
Možjanca - Štefanja gora (po cesti),60,lahka označena pot,Štefanja gora
Štefanja Gora - Štefanja gora (čez Spodnjo Štefanjo vas),45,lahka označena pot,Štefanja gora
Preddvor - Štefanja gora (po pešpoti),80,lahka neoznačena steza,Štefanja gora
Olševek - Štefanja gora (čez Apnišče),75,lahka neoznačena steza,Štefanja gora
Štefanja Gora - Štefanja gora (čez Zgornjo Štefanjo vas),35,lahka označena pot,Štefanja gora
Velesovo - Štefanja gora (mimo klopc),70,lahka označena pot,Štefanja gora
Velesovo - Štefanja gora (mimo šterne),70,lahka označena pot,Štefanja gora
Braslovško jezero - Dom na Dobrovljah,80,lahka označena pot,Dom na Dobrovljah
Letuš - Dom na Dobrovljah,80,lahka označena pot,Dom na Dobrovljah
Gornji Grad - Sveti Florjan nad Gornjim Gradom (strma pot),60,lahka označena pot,Sveti Florjan nad Gornjim Gradom
Možjanca - Apnišče,35,lahka označena pot,Apnišče
Olševek - Apnišče (zahodna pot),55,lahka neoznačena steza,Apnišče
Olševek - Apnišče (mimo šterne),55,lahka neoznačena steza,Apnišče
Adergas - Apnišče (mimo šterne),60,lahka neoznačena steza,Apnišče
Preddvor - Apnišče (po pešpoti),75,lahka neoznačena steza,Apnišče
Velesovo - Apnišče (mimo šterne),70,lahka označena pot,Apnišče
Podgora - Gora Oljka (Martinova pot),80,lahka označena pot,Gora Oljka
Rečica ob Paki - Gora Oljka,75,lahka označena pot,Gora Oljka
Dobrič - Gora Oljka,50,lahka označena pot,Gora Oljka
Dobrič (Vedet) - Gora Oljka (mimo Rogeljška),40,lahka označena pot,Gora Oljka
Podvin pri Polzeli - Gora Oljka (spodnja pot),90,lahka označena pot,Gora Oljka
Dobrič (Vedet) - Gora Oljka (po cesti),50,lahka neoznačena steza,Gora Oljka
Polzela - Gora Oljka (čez Vimperk),135,lahka označena pot,Gora Oljka
Dobrič (Vedet) - Gora Oljka (čez Brezovec),50,lahka označena pot,Gora Oljka
Podvin pri Polzeli - Gora Oljka (zgornja pot),95,lahka označena pot,Gora Oljka
Hotel Plesnik - Slap Palenk,5,lahka označena pot,Slap Palenk
Grad - Stiška vas (Križev pot),45,lahka označena pot,Stiška vas
Selo pri Žirovnici - Sveti Lovrenc nad Zabreznico,30,lahka neoznačena steza,Sveti Lovrenc nad Zabreznico
Poljana (Završnica) - Sveti Lovrenc nad Zabreznico (po štengcah čez Rebr),60,lahka neoznačena steza,Sveti Lovrenc nad Zabreznico
Poljana (Završnica)  - Sveti Lovrenc nad Zabreznico (čez Mali vrh),60,lahka neoznačena steza,Sveti Lovrenc nad Zabreznico
Preddvor - Jamna peč (po pešpoti),50,lahka neoznačena steza,Jamna peč
Olševek - Jamna peč,75,lahka neoznačena steza,Jamna peč
Možjanca - Jamna peč,10,lahka neoznačena steza,Jamna peč
REKS - Rekreacijsko kulturno središče Ravne - Vrholanov vrh (Ravne pri Šoštanju) (Ravenska pot),240,lahka označena pot,Vrholanov vrh (Ravne pri Šoštanju)
Lipa - Dom planincev Farbanca,105,lahka neoznačena steza,Dom planincev Farbanca
Potok (Mostni graben) - Dom planincev Farbanca,50,lahka označena pot,Dom planincev Farbanca
Kokarje (ŠRC Laze) - Dom planincev Farbanca,75,lahka označena pot,Dom planincev Farbanca
Preddvor - Sveti Nikolaj (Možjanca) (po pešpoti),40,lahka neoznačena steza,Sveti Nikolaj (Možjanca)
Preddvor - Sveti Nikolaj (Možjanca) (po cesti),45,lahka neoznačena steza,Sveti Nikolaj (Možjanca)
Štefanja Gora - Sveti Nikolaj (Možjanca) (po cesti),45,lahka označena pot,Sveti Nikolaj (Možjanca)
Olševek - Sveti Nikolaj (Možjanca),65,lahka neoznačena steza,Sveti Nikolaj (Možjanca)
Dom v Kamniški Bistrici - Spominski park v Kamniški Bistrici,30,lahka označena pot,Spominski park v Kamniški Bistrici
Tržič - Sveta Neža (Brezje pri Tržiču),60,lahka označena pot,Sveta Neža (Brezje pri Tržiču)
Bistrica pri Tržiču - Sveti Jurij nad Tržičem (po zahodni cesti),15,lahka označena pot,Sveti Jurij nad Tržičem
Bistrica pri Tržiču - Sveti Jurij nad Tržičem (po vzhodni cesti),25,lahka neoznačena steza,Sveti Jurij nad Tržičem
Tržič - Sveti Jurij nad Tržičem,40,lahka označena pot,Sveti Jurij nad Tržičem
Zalog pri Cerkljah - Šenturška Gora,120,lahka označena pot,Šenturška Gora
Planinski dom Milana Šinkovca - Šenturška Gora,135,lahka označena pot,Šenturška Gora
Planinski dom Milana Šinkovca - Šenturška Gora (čez Zaloški rob),135,lahka označena pot,Šenturška Gora
Bistrica pri Tržiču - Grad Gutenberk (Hudi grad) (zahodna pot),15,"lahka označena pot, lahka neoznačena steza",Grad Gutenberk (Hudi grad)
Bistrica pri Tržiču - Grad Gutenberk (Hudi grad) (vzhodna pot),25,lahka neoznačena steza,Grad Gutenberk (Hudi grad)
Mače  - Sv. Miklavž nad Mačami,20,lahka neoznačena steza,Sv. Miklavž nad Mačami
Preddvor - Novi grad (Pusti grad),40,lahka označena pot,Novi grad (Pusti grad)
Potoče - Novi grad (Pusti grad),25,lahka označena pot,Novi grad (Pusti grad)
Dobrič (Vedet) - Brezovec,25,lahka označena pot,Brezovec
Iverje - Dom v Kamniški Bistrici (Koželjeva pot),165,delno zahtevna označena pot,Dom v Kamniški Bistrici
Dom v Kamniški Bistrici - Dom v Kamniški Bistrici (pot ob izviru),10,lahka označena pot,Dom v Kamniški Bistrici
Velenje (Stari trg) - Koželj (po planinski poti),45,lahka označena pot,Koželj
Trebuša (plinska postaja) - Koželj,30,lahka označena pot,Koželj
Velenje (Stari trg) - Veliko Gradišče (po planinski poti),60,lahka označena pot,Veliko Gradišče
Potoče - Senčnica Josipine Turnograjske,7,lahka označena pot,Senčnica Josipine Turnograjske
Preddvor - Senčnica Josipine Turnograjske,22,lahka označena pot,Senčnica Josipine Turnograjske
Lopata - Planinski dom Šentjungert,90,lahka označena pot,Planinski dom Šentjungert
Galicija - Planinski dom Šentjungert,45,lahka označena pot,Planinski dom Šentjungert
Založe (Hotunjščica) - Sevčnik (Andraška pot (pri Vodostečni)),90,lahka označena pot,Sevčnik
Velenje (Stari trg) - Malo Gradišče (po planinski poti),45,lahka označena pot,Malo Gradišče
Velenje (Stari trg) - Sveti Jakob (Jakec) (po planinski poti),45,lahka označena pot,Sveti Jakob (Jakec)
Zadraga - Kriva jelka,60,lahka označena pot,Kriva jelka
Spodnje Duplje - Kriva jelka,40,lahka neoznačena steza,Kriva jelka
Andraž nad Polzelo - Brunški vrh (Po poteh Andraža),60,lahka označena pot,Brunški vrh
Sebenje - Mokrišče Blata,10,lahka neoznačena steza,Mokrišče Blata
Sebenje - Sebenje (Pot treh zvonov),150,lahka označena pot,Sebenje
Črnova - Lipnik (pri Velenju) (Po poteh Vinske gore),15,lahka označena pot,Lipnik (pri Velenju)
Brezje - Bazilika Marije Pomagaj na Brezjah (Brezjanska pot miru),135,lahka označena pot,Bazilika Marije Pomagaj na Brezjah
Brezje - Bazilika Marije Pomagaj na Brezjah (Rožnovenska pot),210,lahka označena pot,Bazilika Marije Pomagaj na Brezjah
Kamnik - Sveta Ana (Tunjice),60,lahka označena pot,Sveta Ana (Tunjice)
Lovski dom Komenda - Sveta Ana (Tunjice),100,lahka označena pot,Sveta Ana (Tunjice)
Mlaka - Sveta Ana (Tunjice),90,lahka neoznačena steza,Sveta Ana (Tunjice)
Gobovce - V Boštkú,30,lahka neoznačena steza,V Boštkú
Podbrezje (Dolenja vas) - V Boštkú,15,lahka neoznačena steza,V Boštkú
Polzela - Vinski vrh (Vimperk),40,lahka označena pot,Vinski vrh (Vimperk)
Podvin pri Polzeli - Vinski vrh (Vimperk) (po pešpoti),18,lahka označena pot,Vinski vrh (Vimperk)
Podvin pri Polzeli - Vinski vrh (Vimperk) (po cesti),15,lahka označena pot,Vinski vrh (Vimperk)
Velenje (Stari trg) - Grad Velenje (po stopnicah),15,lahka označena pot,Grad Velenje
Velenje (Stari trg) - Grad Velenje (po stezi),15,lahka neoznačena steza,Grad Velenje
Velenje (Stari trg) - Grad Velenje (po cesti),20,lahka označena pot,Grad Velenje
Brezje - Slap Peračica,50,lahka označena pot,Slap Peračica
Peračica - Slap Peračica,45,lahka označena pot,Slap Peračica
Črnivec - Slap Peračica (po pešpoti),10,lahka neoznačena steza,Slap Peračica
Dvorska vas - Slap Peračica,70,lahka neoznačena steza,Slap Peračica
Črnivec - Slap Peračica (po cesti),20,lahka neoznačena steza,Slap Peračica
Bodeški most - Šobčev bajer,25,lahka označena pot,Šobčev bajer
Kamna Gorica - Šobčev bajer (pot ob Savi),120,lahka označena pot,Šobčev bajer
Kamna Gorica - Šobčev bajer (over Pusti grad),110,lahka neoznačena steza,Šobčev bajer
Zgornja Dobrava - Šobčev bajer (čez Ojstri vrh in ob Savi),145,lahka neoznačena steza,Šobčev bajer
Zgornja Dobrava - Šobčev bajer (over Zjavka and Pusti grad),140,lahka neoznačena steza,Šobčev bajer
Turistična kmetija Trnovc - Turistična kmetija Trnovc (učna pot Kriva jelka),180,lahka označena pot,Turistična kmetija Trnovc
Žovneško jezero - Grad Žovnek,15,lahka označena pot,Grad Žovnek
Žovneško jezero - Grad Žovnek (po cesti),10,lahka neoznačena steza,Grad Žovnek
Ribiška koča Šoštanj - Šoštanj (Trška pot okoli Šoštanja),210,lahka označena pot,Šoštanj
Komenda - Planinski dom Milana Šinkovca,15,lahka označena pot,Planinski dom Milana Šinkovca
Valvasorjev dom pod Stolom - Stol (Žirovniška pot),180,lahka označena pot,Stol
Valvasorjev dom pod Stolom - Stol (Zabreška pot),200,lahka označena pot,Stol
Trate / Johannsenruhe - Stol (plezalna pot),200,zelo zahtevna označena pot,Stol
Ljubelj - Stol (zgornja pot),290,delno zahtevna označena pot,Stol
Ljubelj - Stol (spodnja pot),290,lahka označena pot,Stol
Trate /  Johannsenruhe - Stol (mimo Celovške koče),225,delno zahtevna označena pot,Stol
Poljana (Završnica) - Stol (Žirovniška pot),260,lahka označena pot,Stol
Tinčkova koča - Stol (čez Zagon),225,lahka neoznačena steza,Stol
Tinčkova koča - Stol (čez Smuško planino),255,lahka označena pot,Stol
Dom Trilobit - Stol (čez Rido (Medji dol)),270,lahka označena pot,Stol
Podnar / Bodenbauer - Stol,270,zahtevna označena pot,Stol
Urbas - Stol,195,lahka neoznačena steza,Stol
Razpotje Vragovec - Stol (čez Zabreško planino),180,lahka označena pot,Stol
Vgriz / Ogris - Stol,270,zahtevna označena pot,Stol
Poljana (Završnica) - Stol (Zabreška pot),280,lahka označena pot,Stol
Ljubelj - Stol (mimo Vatelce oz. Sklede),300,delno zahtevna označena pot,Stol
Podnar / Bodenbauer - Stol (čez melišče),240,"lahko brezpotje, lahka označena pot",Stol
 Podnar / Bodenbauer - Stol (čez Karweg),255,"lahka neoznačena steza, delno zahtevna označena pot",Stol
Tinčkova koča - Stol (mimo lovske koče nad Doslovško planino),220,lahka neoznačena steza,Stol
Razpotje Vragovec - Stol (čez Doslovško planino in mimo lovske koče),190,lahka neoznačena steza,Stol
Ljubelj - Vrtača,210,delno zahtevna označena pot,Vrtača
Ljubelj - Vrtača (vzhodni žleb Y),195,zelo zahtevno brezpotje,Vrtača
Tinčkova koča - Vrtača (čez Smuško planino in sedlo Šija),210,delno zahtevna označena pot,Vrtača
Tinčkova koča - Vrtača (čez Malo glavo),180,zahtevno brezpotje,Vrtača
Tinčkova koča  - Vrtača (po SV grebenu),240,alpinistični vzpon,Vrtača
Podnar / Bodenbauer - Vrtača (čez melišče),250,"lahko brezpotje, delno zahtevna označena pot",Vrtača
Podnar / Bodenbauer - Vrtača,285,zahtevna označena pot,Vrtača
Tinčkova koča - Vrtača (skozi Zagon),210,"lahka neoznačena steza, delno zahtevna označena pot",Vrtača
Trate / Johannsenruhe - Vrtača,240,delno zahtevna označena pot,Vrtača
Vgriz / Ogris - Vrtača,285,zahtevna označena pot,Vrtača
 Podnar / Bodenbauer - Vrtača (čez Karweg),270,"lahka neoznačena steza, delno zahtevna označena pot",Vrtača
Tinčkova koča - Vrtača (čez smokuško planino in po melišču),210,"lahka neoznačena steza, delno zahtevna označena pot",Vrtača
Valvasorjev dom - Prešernova koča na Stolu (Žirovniška pot),165,lahka označena pot,Prešernova koča na Stolu
Valvasorjev dom - Prešernova koča na Stolu (Zabreška pot),185,lahka označena pot,Prešernova koča na Stolu
Ljubelj - Prešernova koča na Stolu (zgornja pot),285,delno zahtevna označena pot,Prešernova koča na Stolu
Poljana (Završnica) - Prešernova koča na Stolu (Žirovniška pot),245,lahka označena pot,Prešernova koča na Stolu
Ljubelj - Prešernova koča na Stolu (mimo Vatelce oz. Sklede),295,delno zahtevna označena pot,Prešernova koča na Stolu
Poljana (Završnica) - Prešernova koča na Stolu (Zabreška pot),265,lahka označena pot,Prešernova koča na Stolu
Podnar / Bodenbauer - Prešernova koča na Stolu (čez melišče),235,"lahko brezpotje, lahka označena pot",Prešernova koča na Stolu
 Podnar / Bodenbauer - Prešernova koča na Stolu (čez Karweg),250,"lahka neoznačena steza, delno zahtevna označena pot",Prešernova koča na Stolu
Trate / Johannsenruhe - Prešernova koča na Stolu (mimo Celovške koče),220,delno zahtevna označena pot,Prešernova koča na Stolu
Razpotje Vragovec - Prešernova koča na Stolu (čez Zabreško planino),165,lahka označena pot,Prešernova koča na Stolu
Podnar / Bodenbauer - Prešernova koča na Stolu,265,zahtevna označena pot,Prešernova koča na Stolu
Vgriz / Ogris - Prešernova koča na Stolu,265,zahtevna označena pot,Prešernova koča na Stolu
Tinčkova koča - Prešernova koča na Stolu (mimo lovske koče nad Doslovško planino),205,lahka neoznačena steza,Prešernova koča na Stolu
Razpotje Vragovec - Prešernova koča na Stolu (čez Doslovško planino in mimo lovske koče),175,lahka neoznačena steza,Prešernova koča na Stolu
Belca - Kepa,255,zahtevna označena pot,Kepa
Erjavčev rovt - Kepa,230,zahtevna označena pot,Kepa
Ravne - Kepa,255,zahtevna označena pot,Kepa
Spodnje Rute / Untergreuth - Kepa (pot čez severovzhodni greben),240,zelo zahtevna neoznačena steza,Kepa
Šetinov rovt - Kepa (čez Kurjeke),240,zahtevna neoznačena steza,Kepa
Spodnje Rute / Untergreuth - Kepa (pot št. 680),240,zahtevna označena pot,Kepa
Iličev rovt / Illitsch Rauth - Kepa (pot 680),180,zahtevna označena pot,Kepa
Podrožca / Rosenbach - Kepa,310,zahtevna označena pot,Kepa
Čemernica / Tschemernitzen - Kepa,305,zahtevna označena pot,Kepa
Kapelška koča / Eisenkappler Hütte - Ojstrc / Hochobir,95,lahka označena pot,Ojstrc / Hochobir
Kurnikovo sedlo - Ojstrc / Hochobir (peš pot),185,lahka označena pot,Ojstrc / Hochobir
Šajda / Schaidasattel - Ojstrc / Hochobir,180,lahka označena pot,Ojstrc / Hochobir
Suha / Zauchen - Ojstrc / Hochobir (skozi Božičev graben),305,delno zahtevna označena pot,Ojstrc / Hochobir
Suha / Zauchen - Ojstrc / Hochobir (skozi Kunetov graben),305,lahka označena pot,Ojstrc / Hochobir
Podkanja vas / Wildenstein - Ojstrc / Hochobir,300,lahka označena pot,Ojstrc / Hochobir
Koča pod Košuto - Košutnikov turn (čez Cjajnik),270,izjemno zahtevna označena pot,Košutnikov turn
Pod Krnico - Košutnikov turn (zahodna pot),135,zahtevna označena pot,Košutnikov turn
Koča pod Košuto - Košutnikov turn (ÖTK Steig Neu),165,zelo zahtevna označena pot,Košutnikov turn
 Pod Krnico - Košutnikov turn (vzhodna pot),150,zahtevna označena pot,Košutnikov turn
Sele pri Cerkvi / Zell - Pfarre - Košutnikov turn (ÖTK Steig Neu),240,zelo zahtevna označena pot,Košutnikov turn
Sele pri Cerkvi / Zell - Pfarre - Košutnikov turn (čez Cjajnik),345,izjemno zahtevna označena pot,Košutnikov turn
Ridovc / Ridovcsäge - Košutnikov turn (ob Mrzlem potoku in čez Cjajnik),355,izjemno zahtevna označena pot,Košutnikov turn
Ridovc / Ridovcsäge - Košutnikov turn (ob Mrzlem potoku in po ÖTK Steig Neu),250,zelo zahtevna označena pot,Košutnikov turn
Jakobe - Kordeževa glava (Peca) (lahka pot),135,lahka označena pot,Kordeževa glava (Peca)
Jakobe - Kordeževa glava (Peca) (plezalna pot),135,zelo zahtevna označena pot,Kordeževa glava (Peca)
Rudnik v Topli - Kordeževa glava (Peca) (mimo Doma na Peci - lahka pot),210,lahka označena pot,Kordeževa glava (Peca)
Rudnik v Topli - Kordeževa glava (Peca) (čez Knipsovo sedlo),165,lahka neoznačena steza,Kordeževa glava (Peca)
 Najberž - Kordeževa glava (Peca) (Walter Mory Klettersteig),330,zelo zahtevna označena pot,Kordeževa glava (Peca)
Podpeca (Mitnek) - Kordeževa glava (Peca) (lahka pot),255,lahka označena pot,Kordeževa glava (Peca)
Pod Peco/Koprein Petzen - Kordeževa glava (Peca),240,lahka označena pot,Kordeževa glava (Peca)
Rudnik v Topli - Kordeževa glava (Peca) (mimo Doma na Peci - plezalna pot),210,zelo zahtevna označena pot,Kordeževa glava (Peca)
Alpengasthof Siebenhütten - Kordeževa glava (Peca),135,lahka označena pot,Kordeževa glava (Peca)
Podpeca (Mitnek) - Kordeževa glava (Peca) (plezalna pot),255,zelo zahtevna označena pot,Kordeževa glava (Peca)
Koprivna (Kumer) - Kordeževa glava (Peca),205,lahka označena pot,Kordeževa glava (Peca)
Pod Peco / Koprein-Petzen - Kordeževa glava (Peca) (slovenska pot),230,lahka označena pot,Kordeževa glava (Peca)
Najberž - Kordeževa glava (Peca),315,lahka označena pot,Kordeževa glava (Peca)
Globasnica / Globasnitz - Kordeževa glava (Peca),390,lahka označena pot,Kordeževa glava (Peca)
Mežica - Kordeževa glava (Peca) (lahka pot),300,lahka označena pot,Kordeževa glava (Peca)
Mežica - Kordeževa glava (Peca) (plezalna pot),300,zelo zahtevna označena pot,Kordeževa glava (Peca)
Koča na Pikovem - Kordeževa glava (Peca) (čez preval Vrh šteng in po plezalni poti),225,zelo zahtevna označena pot,Kordeževa glava (Peca)
