ime,drzava,drzava_2,drzava_3,gorovje,visina,vrsta,stevilo_ogledov,priljubljenost,stevilo_poti,opis,blok_poti 
Blejski grad,Slovenija,,,Julijske Alpe,599,,11496,35,1,"Na strmi pečini, ki se dviga 123 m nad gladino Blejskega jezera stoji ena najstarejših slovenskih, v listinah že v zgodnjem 11. stol. omenjenih utrdb - Blejski grad. Dolgih stoletij sedež velike gorenjske posesti briksenske škofije, danes pa ena največjih kulturnih in turističnih znamenitosti Slovenije je urejena v muzej, ki hrani obsežno zbirko orožja iz let med 16. in 18. stoletjem. V gradu se nahaja tudi gostišče z restavracijo, v grajski kapeli sv. Ingenuina in Albuina pa so za ogled na voljo lepo ohranjene freske. Z grajskih teras se ponuja lep razgled na Blejsko jezero z otokom in okolico, na Pokljuko, Jelovico, ter Julijce s Triglavom.",
Ribenska gora,Slovenija,,,Julijske Alpe,588,vrh,181573,53,1,"Ribenska gora je hrib, ki se dviga nad vasjo Ribno pri Bledu. Z njegovega, dokaj ozkega skalnatega slemena se ponuja lep razgled širom po Gorenjski: Na jugu na pobočja Jelovice z Babjim zobom in nekoliko v desno - na steno pokljuškega Galetovca. Na zahodu proti Julijcem s Triglavom, severno pa na dobršen del zahodne Karavanške verige, vse tja do Krvavca in še dlje.",
Ajdovski gradec,Slovenija,,,Julijske Alpe,580,vrh,7020,33,2,"Ajdovski gradec je manjši hrib na vzhodu Bohinjske Bistrice, ki se vzpenja desno nad reko Savo Bohinjko. Dostop je možen iz Bohinjske Bistrice in vasi Bitenj.<br>Vrh je delno poraščen, razgled se odpira le na verigo Spodnjih Bohinjskih gora od Črne prsti proti zahodu, na Dobravo in na del Bohinjske Bistrice, v kateri v oči pade cerkev sv. Nikolaja.<br>Na vrhu so klopice z mizo, informativna tabla o arheoloških najdiščih iz železne dobe in rimskih časov ter plošče z verzi Franceta Prešerna (Ajdovski gradec je omenjen v epsko-lirski pesnitvi Krst pri Savici).<br>Zaradi bujnega rastja je obisk najbolj priporočljiv spomladi in v pozni jeseni.",
Korita Možnice (Nemčlje),Slovenija,,,Julijske Alpe,580,slap,318184,70,1,"Korita Možnice oz. Nemčlje se nahajajo ob jugozahodnem robu istoimenske doline. V osrednjem delu korit, pa se nahaja tudi večji in precej zanimiv slap, ki pada skozi naravno okno oz. most.",
Javorca,Slovenija,,,Julijske Alpe,571,"planina, cerkev",483107,88,1,"Javorca je razgledna vzpetina, ki se nahaja na zahodni strani reke Tolminke. Na vzpetini stoji spominska cerkev sv. Duha, ki je posvečena padlim avstro-ogrskim vojakom. Od cerkve, v kateri so na lesenih ploščah tudi imena padlih vojakov, se nam odpre lep razgled na vrhove, ki obdajajo dolino reke Tolminke.",
Jama Srnica,Slovenija,,,Julijske Alpe,550,,253581,62,1,"Jama Srnica je kraška jama, ki se nahaja zahodno od Bovca, v bližini vasi Plužna. Brez ustrezne opreme in jamskega vodnika si lahko ogledamo le vhodni del te 65 m globoke jame.",
Iglica,Slovenija,,,Julijske Alpe,550,"vrh, slap",258098,62,1,"Iglica je kamniti stolp, ki se nahaja nad Bohinjsko Belo. <br> Iglica je zelo priljubljena pri plezalcih saj stena iglice ni krušljiva. <br> Med stenami Iglice pa teče potok Suha na katerem je 24m visok slap, ki pada čez navpično steno.",
Sveti Janez Krstnik (Ribčev Laz),Slovenija,,,Julijske Alpe,532,"jezero, cerkev",4210,30,1,"Cerkev sv. Janeza Krstnika v Ribčevem Lazu se nahaja ob skrajnem vzhodnem delu Bohinjskega jezera, le nekaj metrov stran od mostu, ki povezuje Ribčev Laz s Staro Fužino. Cerkev je tudi ena največkrat fotografiranih cerkva v Sloveniji. Mimo cerkve vodi več sprehajalnih poti, med drugim tudi pot okoli Bohinjskega jezera.",
Slap Šum v Blejskem Vintgarju,Slovenija,,,Julijske Alpe,520,slap,8920,34,1,"Na vzhodnem robu Triglavskega narodnega parka, 4 km severo-zahodno od središča Bleda, se ob zaključku slikovite soteske gorske reke Radovna, imenovane Blejski Vintgar, nahaja največji Slovenski rečni slap z imenom Šum.<br>Slap se ponaša z močnim pretokom in s svojim 16-meterskim padcem. Skupaj s 1600 metrov dolgo in do 250 metrov globoko sotesko Vintgar je zaradi svoje slikovite lepote uvrščen med zavarovane ter pomembnejše naravne in turistične zanimivosti Slovenije.",
Mlina peč,Slovenija,,,Julijske Alpe,506,vrh,587,14,1,"Mlina peč je razgledna skalnata vzpetina nad Bohinjsko Belo. Z vrha, na katerem je postavljena klop, se nam odpre lep pogled na Bohinjsko Belo in Babji zob.",
Žičnica čez Tolminko,Slovenija,,,Julijske Alpe,500,,256619,62,1,"Na mestu kjer stoji žičnica na ročni pogon je včasih stal most, ki pa so ga neurja podrla. Žičnica katerih je v Sloveniji malo je zelo zanimiva saj se z lastno močjo pripeljemo na drugo stran reke.",
Tonovcov grad pri Kobaridu,Slovenija,,,Julijske Alpe,500,vrh,406167,80,1,Tonovcov grad se nahaja na desnem bregu reke Soče na manjšem hribu v bližini Kobarida. Z vrha je zelo lep pogled na Krasji vrh in Krn. Pred leti so obnovili grad (potek sten) in uredili okolico.,
Gradišče (Bodešče),Slovenija,,,Julijske Alpe,499,vrh,219093,58,2,"Gradišče je 499 m visok vrh, ki se nahaja med reko Savo Bohinjko in naseljem Bodešče. Z vrha, na katerem se nahajata lesen križ in klopca, se nam odpre lep razgled na Julijske Alpe in Karavanke ter del Kamniško Savinjskih Alp.",
Sveti Lenart (Bodešče),Slovenija,,,Julijske Alpe,485,cerkev,193529,54,2,"Cerkev sv. Lenarta se nahaja ob robu oz. na koncu vasi Bodešče pod razglednim vrhom Gradišče, le ta pa strmo nad reko Savo Bohinjko. Cerkev, katere ključ je možno dobiti v eni od bližnjih hiš v vasi Bodešče je bila zgrajena v prvi polovici 15. stoletja.",
Velika korita Soče,Slovenija,,,Julijske Alpe,480,,406199,80,1,"Velika korita Soče se nahajajo na reki Soči pri dolini Lepene. Korita so dolga 750 metrov, široka ponekod le 2 metra, obdajajo pa jih stene v višino do 15 metrov. Tu se vidi lepa zeleno-modra barva reke Soče.",
Blejsko jezero,Slovenija,,,Julijske Alpe,475,"jezero, cerkev",2730,27,1,"Blejsko jezero je jezero v Julijskih Alpah, ki se nahaja ob mestu Bled. Sredi jezera, ki je globoko do okoli 30 metrov se nahaja Blejski otok in na njem cerkev Marijinega vnebovzetja. Okoli jezera vodi sprehajalna pot, ki je dolga približno 6 km.",
Slap Beri,Slovenija,,,Julijske Alpe,454,slap,233497,59,1,"Potok Godiča je prvi levi pritok Soče za pritokom reke Tolminke. Vodo zbira izpod Tolminskega Triglava. Čeprav je dostop razmeroma lahek, je območje, kjer je slap Veliki Beri precej divje. Okolica tolmuna deluje čarobno in pravo nasprotje divjega in grozečega melišča, ki smo ga morali prečiti preden smo prišli do pravljičnega tolmuna. Veliki Beri je visok 25 metrov, malo nad njim pa je Mali Beri z višino 15 metrov. ",
Izvir Glijuna,Slovenija,,,Julijske Alpe,450,,293607,67,1,"Izvir Glijuna je močan kraški izvir, ki se nahaja nad vasjo Plužna pri Bovcu. Temperatura vode, ki izvira ob vznožju Kanina ima povprečno temperaturo 5,5 stopinj Celzija. ",
Mala Boka,Slovenija,,,Julijske Alpe,440,,214664,57,1,"Mala Boka je kraška jama, ki se nahaja ob vznožju kaninskega masiva. Dostop v jamo, ki ima splet rovov dolg več kot 8000 m, je mogoč le s primerno jamarsko opremo in vodičem.<br>Mala Boka pa ima skupaj s sistemom jame ""BC4"", globino kar 1319 m.",
Kozlov rob,Slovenija,,,Julijske Alpe,426,vrh,376188,77,2,"Kozlov rob ali Grad kot mu pravijo domačini, je 426 m visoka vzpetina, ki se nahaja nad Tolminom. Z vrha, na katerem se nahajajo obnovljene ruševine nekdanjega gradu, se nam odpre lep razgled proti Tolminu in okoliškim gora. Vrh ima vpisno skrinjico z vpisno knjigo in žigom.",
Slap Sopota (Soupat),Slovenija,,,Julijske Alpe,400,slap,345381,73,1,"62 m visok slap se nahaja na potoku Sopota nad vasjo Podmelec v bližini Tolmina. Razgled na slap je najlepši z lepo urejene razgledne točke le nekaj metrov pred slapom. V bližini slapu je tudi zdravilna voda, ki po mnenju domačinov (ne vem, če tudi domačink) zdravi babjo sitnost. Pod slapom obstaja možnost padajočega kamenja.",
Slap Virje,Slovenija,,,Julijske Alpe,400,"slap, jezero",414672,81,1,"Slap, ki je širok 20 m in visok 12 m pada v manjše jezero, katerega obdaja bujno rastlinje. Slap, kateremu je elektrarna vzela večino vode, je kljub pomanjkanju vode, eden najlepših v Sloveniji.",
Gregorčičev slap,Slovenija,,,Julijske Alpe,390,slap,8400,33,1,Gregorčičev slap je 88 metrov visok slap v strmi soteski Volarje pod vasema Selce in Vrsno.,
Korita Soče pri Kršovcu,Slovenija,,,Julijske Alpe,390,,322408,70,1,"Soča je na tem mestu izdolbla korita dolga okrog 100m. Korita so na najožjem delu široka le 1,5m. Nahajajo se v bližini potoka Golobar, katerega muzej je viden s ceste.",
Veliki slap Kozjak,Slovenija,,,Julijske Alpe,250,"slap, jezero",437581,84,1,"Slap Veliki Kozjak je kljub skromni višini, eden najlepših slapov v Sloveniji. Slap, ki je visok 15 m, z vseh strani obdajajo strma ostenja, ki dajo slapu še poseben čar.",
Mali slap Kozjak,Slovenija,,,Julijske Alpe,230,slap,296595,67,1,"Mali slap Kozjak je manjši slap, ki je lepo viden s poti proti Velikemu slapu Kozjak.",
Tolminska korita,Slovenija,,,Julijske Alpe,180,,431701,83,0,"Tolminska korita so dolga 200 m, široka pa od 5 do 10 m. Ob levem bregu reke Tolminke izvira manjši kraški izvir s termalnim izvirom, ki ima v povprečju 19 stopinj Celzija. Ob sotočju reke Tolminke in Zadlaščice, pa se nahaja tudi najnižja točka Triglavskega narodnega parka, le ta na omenjenem mestu znaša 180 m.<br>V bližini Tolminskih korit pa se nahajajo tudi nekoliko korita Zadlaščice, kjer lahko opazimo zagozdeno skalo v trikotni obliki. Ker skala spominja na medvedjo glavo, je ta dobila ime Medvedova glava.<br>Nekoliko nad koriti reke Tolminke in Zadlaščice, pa se nahaja tudi Zadlaška oz. Dantejeva jama, ki ima splet rovov dolg 1140 m.",
Grintovec,Slovenija,,,Kamniško Savinjske Alpe,2558,vrh,1087790,100,14,"Grintovec je najvišji vrh Kamniških in Savinjskih Alp. Nahaja se nad dolino Kamniške Bistrice, Suhega dola in nad dolino Ravenske Kočne. Razgled z vrha je najlepši proti Jezerski in Kokrski Kočni na zahodni strani, na severu se lepo vidi Jezerska dolina in vrhovi nad Jezerskim proti vzhodu pa se vidi greben Grintovcev od Dolgega Hrbta, čez Štruco do Skute. Proti jugu pa se vidi Kalški greben in v ozadju Ljubljanska kotlina. Vrh ima vpisno knjigo in žig.",
Jezerska Kočna,Slovenija,,,Kamniško Savinjske Alpe,2540,vrh,701190,98,14,"Jezerska Kočna se nahaja zahodno od Grintovca. Z vrha je zelo lep pogled proti Grintovcu. Lepo pa se vidijo tudi Karavanke in Gorenjska ravnina. Zelo daleč naprej pa se vidijo tudi Julijske Alpe. Vrh, ki ima zelo malo prostora ima vpisno knjigo.",
Skuta,Slovenija,,,Kamniško Savinjske Alpe,2532,vrh,850679,99,9,"Skuta je 2532 m visoka gora, ki se nahaja v osrčju Kamniško Savinjskih Alp. Z vrha, na katerem je vpisna skrinjica in žig, se nam odpre lep razgled na najvišje vrhove Kamniško Savinjskih Alp.",
Kokrska Kočna,Slovenija,,,Kamniško Savinjske Alpe,2520,vrh,563042,95,8,"Kokrska Kočna je razgledna in prostrana gora med Jezerskim in Suhadolnikom. Z vrha, ki ima vpisno skrinjico je zelo lep pogled na sosednjo Jezersko Kočno in Grintovec. Lepo se vidi tudi del Gorenjske ravnine.",
Na Križu (Kokrska Kočna),Slovenija,,,Kamniško Savinjske Alpe,2484,vrh,17330,35,1,"Vrh, ki se danes ""uradno"" imenuje Na Križu, se je včasih imenoval Kokrska Kočna, vrh Kokrske Kočne pa je ""premaknjen"" nekoliko proti severovzhodu, na koto z višin0 2520 m.",
Dolgi hrbet,Slovenija,,,Kamniško Savinjske Alpe,2473,vrh,551669,94,6,Dolgi Hrbet se nahaja med Grintovcem in Skuto. S prepadnega vrha je lep razgled po osrčju Kamniških in Savinjskih Alp. Dolgi Hrbet ima najvišjo steno v teh Alpah skoraj 1000m.,
Štruca,Slovenija,,,Kamniško Savinjske Alpe,2457,vrh,526734,92,7,"Štruca je vrh z zanimivim imenom in prav taki obliki. Po tej obliki je gora tudi dobila ime. Vrha, ki je le malo oddaljen z markirane poti marsikdo sploh ne opazi. Nahaja se v osrčju Kamniških Alp med Dolgim hrbtom in Skuto. Z vrha je lep pogled proti že omenjenima vrhovoma in večini najvišjih vrhov v tem delu Slovenije.",
Kranjska Rinka,Slovenija,,,Kamniško Savinjske Alpe,2453,vrh,559044,94,7,"Kranjska Rinka je najvišja od vseh Rink. Z vrha, ki ima vpisno knjigo je najlepši pogled proti Skuti. Lepo se vidijo tudi preostale Rinke. Lep pa je tudi pogled proti Planjavi in goram okoli nje.",
Koroška Rinka (Križ),Slovenija,,,Kamniško Savinjske Alpe,2433,vrh,610988,96,7,"Koroška Rinka (tudi Križ) je 2433 m visoka gora, ki se strmo dviga nad Ledinami in Okrešljem. Z vrha, ki ima vpisno skrinjico in žig je lep pogled na osrednje Kamniško Savinjske Alpe in na del Karavank, kjer lepo vidimo greben Košute.",
Planjava,Slovenija,,,Kamniško Savinjske Alpe,2392,vrh,740132,98,13,"Planjava je manjše pogorje vzhodno od Kamniškega sedla. Ima dva vrhova vzhodnega in zahodnega. Na vzhodni 2 metra nižji vrh je speljana markirana pot. Vrh, ki ima vpisno skrinjico ima lep razgled po Kamniških in Savinjskih Alpah. Lepo se vidi tudi osrednja Slovenija in  njeno glavno mesto.",
Štajerska Rinka,Slovenija,,,Kamniško Savinjske Alpe,2374,vrh,499427,90,5,"Štajerska Rinka je 2374 m visoka gora, ki se strmo dviga nad Okrešljem, točneje vzhodno od bolj obiskane Koroške Rinke. Z vrha na kateri je vpisna skrinjica se nam odpre lep pogled na Rinke, Mrzlo goro in ostale vrhove, ki se dvigujejo nad Logarsko dolino.",
Ojstrica,Slovenija,,,Kamniško Savinjske Alpe,2350,vrh,915864,100,17,"Ojstrica, katera ime je dobila po svoji ostri obliki, se strmo dviga nad Korošico, Logarsko dolino in Robanovim kotom. Z vrha, na katerem se nahaja vpisna skrinjica z žigom, se nam odpre lep razgled na najvišje vrhove Kamniško Savinjskih Alp.",
Lučka Brana (Baba),Slovenija,,,Kamniško Savinjske Alpe,2331,vrh,467897,87,1,"Lučka Brana (Baba) je manj izrazit vrh, ki se nahaja v grebenu med Planjavo in Ojstrico. S prostranega in deloma travnatega vrha, se nam odpre lep razgled proti goram nad Logarsko dolino in na vrhove Dleskovške planote.",
Mala Rinka,Slovenija,,,Kamniško Savinjske Alpe,2289,vrh,481255,88,2,"Mala Rinka je z višini 2289 m najnižja od vseh štirih Rink. Z manj izrazitega vrha, pa se nam odpre lep razgled na ostale Rinke, Mrzlo goro, Olševo, Peco, Raduho, Krofičko, Ojstrico, Planjavo, Brano in bližnjo Tursko goro.",
Brana,Slovenija,,,Kamniško Savinjske Alpe,2253,vrh,800620,99,4,"Brana je gora nad Kamniškim sedlom. S prostranega vrha, ki ima vpisno skrinjico in manjši križ je zelo lep razgled. Na vzhodu se lepo vidi Planjava, na zahodu pa Turska gora in za njo Rinke ter Skuta. Lep je pogled tudi na Ljubljansko kotlino.",
Turska gora,Slovenija,,,Kamniško Savinjske Alpe,2251,vrh,664137,97,5,Gora se nahaja nad Logarsko dolino in nad dolino Kamniške Bistrice. Z vrha je lep pogled proti sosednjim vrhom. Najlepše se vidijo Rinke in Brana. Vrh ima vpisno knjigo z žigom.,
Kalški greben,Slovenija,,,Kamniško Savinjske Alpe,2224,vrh,649706,97,13,"Kalški greben je 2224 m visok vrh in je s svojo višino tudi najvišji vrh istoimenskega grebena. Z vrha, na katerem se nahaja vpisna skrinjica in žig, se nam odpre lep razgled na osrednje Grintovce ter vrhove nad dolinama Kamniške Bistrice in Kokre. Ob lepem vremenu pa razgled seže vse od Ljubljane, preko Gorenjske do najvišjih vrhov Julijskih Alp.",
Mrzla gora,Avstrija,,Slovenija,Kamniško Savinjske Alpe,2203,vrh,653957,97,8,Težko dostopna gora se nahaja na meji z Avstrijo v Kamniških in Savinjskih Alpah. Z vrha je lep razgled proti goram nad Logarsko dolino in na avstrijsko Koroško. Vrh ima vpisno knjigo in v bližini manjši križ.,
Storžič,Slovenija,,,Kamniško Savinjske Alpe,2132,vrh,1062658,100,30,"Storžič je 2132 m visoka gora, ki se nahaja na zahodnem delu Kamniško Savinjskih Alp. Z vrha na katerem se nahaja križ se nam odpre lep razgled na Julijske Alpe, Karavanke, Kamniško Savinjske Alpe ter na Ljubljansko kotlino in Gorenjsko ravnino. Vrh ima vpisno skrinjico, žig in razgledno ploščo.",
Najvišji rob (Zeleniške špice),Slovenija,,,Kamniško Savinjske Alpe,2127,vrh,511100,91,2,"Najvišji rob je najvišji vrh grebena Zeleniških špic. Večina jih na omejeni vrh prispe po grebenu Zeleniških špic preko Staničevega vrha, zbiralci dvatisočakov pa lahko na omenjeni vrh prispejo tudi po ""lažji poti"" s Srebrnega sedla.",
Velika (Koroška) Baba,Avstrija,,Slovenija,Kamniško Savinjske Alpe,2127,vrh,644538,97,8,"Velika (Koroška) Baba je 2127 m visoka gora na mejnem grebenu nad dolino Ravenske Kočne na slovenski strani ter nad dolino Bele (Belska Kočna) na avstrijski strani. Z vrha je zelo lep razgled na severne stene Kočne, Grintovca, Dolgega hrbta, Skute in Rink. Lepo se vidita tudi Kranjska koča na Ledinah in Češka koča na Spodnjih Ravneh.",
Velika Zelenica,Slovenija,,,Kamniško Savinjske Alpe,2114,vrh,566477,95,4,"Velika Zelenica je najvišji vrh Dleskovške planote in temu primeren je tudi razgled. Najlepše izstopa bližnja Ojstrica pod katero lahko opazimo Moličko planino in Robanov kot. Tudi ime gore je primerno, saj je na vrhu velik travnik, ki pa se konča s 1000 metrskim prepadom v Robanov kot.",
Storžek,Avstrija,,,Kamniško Savinjske Alpe,2110,vrh,507734,91,5,"Storžek oz. Belski turn je 2110 m visoka gora, ki se nahaja na avstrijski strani Jezerskega sedla. Z vrha, ki ga na večini slovenskih zemljevidov ni vrisanega se nam odpre lep razgled na bližnji Ledinski vrh, Veliko (Koroško) Babo, Mrzlo goro in severna ostenja osrednjih Grintovcev.",
Veliki vrh (Veža),Slovenija,,,Kamniško Savinjske Alpe,2110,vrh,545328,93,5,"Veliki vrh je 2110 m visoka gora, ki se nahaja v osrednjem delu Dleskovške planote. Z vrha na katerem se nahajata dve vpisni skrinjici (ena ima obliko miniaturnega Aljaževega stolpa) se nam odpre lep razgled na omenjeno planoto, ter najvišjim vrhovom Savinjskih Alp",
Ledinski vrh,Avstrija,,Slovenija,Kamniško Savinjske Alpe,2108,vrh,606409,96,5,"Gora se nahaja nad Jezerskim in je na meji z Avstrijo. Z vrha je lep razgled proti sosednji Babi na severu, proti zahodu vidimo Mrzlo goro, proti jugu pa je Skuta s svojimi sosedami in na zahodno stran pa vidimo dolino Ravensko Kočno in nad njo Češko kočo. Na vrhu je malo prostora.",
Kogel,Slovenija,,,Kamniško Savinjske Alpe,2100,vrh,490628,89,1,"Kogel je manj znan vrh, ki se nahaja v osrčju Kamniško Savinjskih Alp. Z 2100 m visokega vrha, ki se na južno stran strmo spušča proti dolini Kamniške Bistrice, se nam odpre lep razgled na vrhove, ki obdajajo omenjeno dolino.",
Bivak pod Grintovcem,Slovenija,,,Kamniško Savinjske Alpe,2100,bivak,547300,93,3,"Bivak Pavla Kemperla, ki ima osem ležišč in je stalno odprt se nahaja pod stenami Grintovca in pod Dolgim Hrbtom. Stoji na robu planotastega sveta, ki je delno porasel s travo. Lep je razgled proti Dolgim stenam Grintovca in okoliškim vrhovom.",
Krofička,Slovenija,,,Kamniško Savinjske Alpe,2083,vrh,625318,97,5,"Krofička ali po nekaterih zapisih Grofička je vrh, ki se nahaja severovzhodno od Ojstrice. Z vrha, ki se strmo spušča proti Logarski dolini in Robanovemu kotu je zelo lep pogled na bližnjo Ojstrico in ostale vrhove v porečju reke Savinje.",
Bivak pod Skuto,Slovenija,,,Kamniško Savinjske Alpe,2070,bivak,553813,94,1,"Bivak se nahaja pod Skuto in Rinkami nad dolino Kamniške Bistrice. Bivak je lepo ohranjen in odprt skozi vse leto. Leta 2015 so star bivak zamenjali z novim modernim bivakom, ki nudi prenočišče 10 osebam. Od bivaka je sicer lep pogled proti Skuti in okoliškim vrhovom.",
Velika Raduha,Slovenija,,,Kamniško Savinjske Alpe,2062,vrh,911496,100,11,"Velika Raduha je z višino 2062 m najvišji vrh Raduhe, pogorja ki se strmo dviga vzhodno od Robanovega kota. Z vrha, ki ima vpisno skrinjico in žig, se nam odpre lep razgled na najvišje vrhove Kamniško Savinjskih Alp ter Olševi, Peci, Uršlji gori, Travniku in Komnu, Goltem ter večini vrhov nad osrednjim delom reke Savinje.",
Kalška gora,Slovenija,,,Kamniško Savinjske Alpe,2047,vrh,593590,96,11,"Kalška gora se nahaja med Kalškim grebenom in Kokrskim sedlom. Z vrha, ki je porasel s travo je lep pogled proti bližnjemu Kalškemu grebenu. Proti severu pa vidimo kot na dlani Grintovec in njegove sosednje vrhove.",
Mala Raduha,Slovenija,,,Kamniško Savinjske Alpe,2029,vrh,437524,84,3,"Mala Raduha je 2029 m visok vrh, ki se nahaja med Veliko Raduho in sedlom Durce. Z vrha, ki je deloma porasel z rušjem se nam odpre lep pogled na bližnjo Veliko Raduho, Olševo, Peco, Uršljo goro ter večino vrhov nad osrednjim in zgornjim tokom reke Savinje.",
Molička peč,Slovenija,,,Kamniško Savinjske Alpe,2029,vrh,516602,91,3,"Molička peč se nahaja na severu Dleskovške planote in se prepadno spušča proti Robanovemu kotu. Z malo obiskanega vrha je lep pogled proti najvišjim vrhovom Kamniško Savinjskih Alp, kjer izstopa Ojstrica s svojo mogočno steno.",
Lučki Dedec,Slovenija,,,Kamniško Savinjske Alpe,2023,vrh,563735,95,6,"Lučki Dedec je 2023 m visoka gora, ki se strmo dviga nad jugozahodnim delom Korošice. S prostranega in prepadnega vrha se nam odpre lep pogled na Planjavo, Brano, Raduho, Dleskovško planoto in Veliko planino.",
Mala Ojstrica,Slovenija,,,Kamniško Savinjske Alpe,2017,vrh,547730,94,2,"Mala Ojstrica je neizrazit vrh, ki se nahaja med Ojstrico, Moličko planino in Korošico. Z vrha, na katerem se nahaja vpisna skrinjica v obliki Aljaževega stolpa, se nam odpre lep pogled na bližnjo Ojstrico in večino vrhov Dleskovške planote.",
Vrh Korena,Slovenija,,,Kamniško Savinjske Alpe,1999,vrh,592902,96,9,"Vrh Korena se nahaja med Zvohom in Kalškim grebenom v bližini Krvavških smučišč. Z vrha je lep pogled proti najvišjim vrhovom Kamniških in Savinjskih Alp. Na vrhu, ki mu le en meter manjka do 2000m je vpisna knjiga.",
Kompotela,Slovenija,,,Kamniško Savinjske Alpe,1989,vrh,600442,96,3,"Kompotela je vrh v bližini Mokrice in vrha Korena. S travo in rušjem poraščen vrh ima lep pogled proti Grintovcu, Skuti, Brani, Planjavi in bližnjima vrhu Korena in Kalškemu grebenu.",
Tolsti vrh (Veža),Slovenija,,,Kamniško Savinjske Alpe,1985,vrh,450824,85,4,"Tolsti vrh je 1985 m visoka gora, ki se nahaja v osrčju Dleskovške planote - Veže. Z vrha, ki je porasel z rušjem, se nam odpre lep razgled po večjem delu omenjene planote ter najvišjim vrhovom v Kamniških in Savinjskih Alpah.",
Vršiči,Slovenija,,,Kamniško Savinjske Alpe,1980,vrh,331983,71,1,"Vršiči so 1980 m visok vrh, ki se nahaja na zahodnem delu Dleskovške planote, točneje med Vežico in Lučkim Dedcem. Z vrha, se nam odpre lep pogled na omenjeno planoto, Ojstrico, Planjavo ter gore nad dolino Kamniške Bistrice.",
Bivak pod Mrzlim vrhom,Slovenija,,,Kamniško Savinjske Alpe,1980,bivak,370897,76,4,"Bivak pod Mrzlim vrhom se nahaja le nekaj višinskih metrov pod Savinjskim sedlom. V bivaku, kjer je možno vedriti v primeru nevihte je tudi vpisna knjiga. Razgled od bivaka je zelo lep na ostenja Rink, Turske gore in ostalih vrhov nad Logarsko dolino.",
Košutna,Slovenija,,,Kamniško Savinjske Alpe,1974,vrh,512906,91,3,"Vrh se nahaja med Kompotelo in planino Košutno. Z vrha je lep razgled proti Krvavcu in Kalškemu grebenu. Lepo pa se vidijo tudi osrednji Grintovci. Vrh, ki je večinoma porasel z rušjem ima vpisno skrinjico.",
Veliki Zvoh,Slovenija,,,Kamniško Savinjske Alpe,1971,"vrh, jezero",574487,95,5,"Veliki Zvoh je najvišja točka smučišča Krvavec. Žičnica sicer ne pride povsem na vrh a do vrha ji manjka le nekaj metrov. Nekaj metrov pod vrhom so naredili jezero, ki je namenjeno umetnemu zasneževanju smučišča. Vrh, ki ima vpisno skrinjico ima lep pogled proti Kalškemu grebenu in okoliškim vrhom. Tudi Storžič in del Julijskih Alp se lepo vidi.",
Deska (Veža),Slovenija,,,Kamniško Savinjske Alpe,1970,vrh,416736,81,4,"Deska je razgleden vrh, ki se nahaja v osrčju Dleskovške planote oz. Veže. Z vrha, na katerem stoji velik možic, se nam odpre lep razgled na najvišje vrhove Kamniško Savinjskih Alp ter večjemu delu osrednje Slovenije. Ob lepem vremenu pa razgled seže vse do 1796 m visokega Snežnika.",
Vežica,Slovenija,,,Kamniško Savinjske Alpe,1965,vrh,312951,69,1,"Vežica je 1965 m visok vrh, ki se nahaja na skrajnem zahodnem robu Dleskovške planote. Z vrha, na katerem stoji manjši možic, se nam odpre lep razgled na gore nad dolino Kamniške Bistrice, kjer najlepše vidimo Planjavo, Dleskovški planoti in hribovju, ki se dviguje nad osrednjim delom reke Savinje.",
Dleskovec,Slovenija,,,Kamniško Savinjske Alpe,1965,vrh,443221,84,1,"Dleskovec je razgledna gora na vzhodni strani Dleskovške planote. Po Dleskovcu je planota tudi dobila ime. Na vrhu stoji možic, ki je zelo velik. Z vrha je lep pogled proti celotni planoti in osrednjim Grintovcem.",
Matkova kopa,Avstrija,,Slovenija,Kamniško Savinjske Alpe,1957,vrh,392223,79,1,"Matkova kopa je težko dostopna gora v gorskem grebenu Kamniško Savinjskih Alp med dolinama Matkov kot in Belska Kočna. Greben poteka v smeri sever-jug in je hkrati meja s sosednjo Avstrijo. Na severu se začne z najnižjim Pavličevim vrhom (1339 m), sledijo Pavličeve stene (1653 m), Lesnikovo sedlo (1517 m), Jerebičje (1761 m), Matkovo sedlo (1623 m), Matkov Grintovec (1700 m), Jevševec (1730 m), Matkova kopa (1957 m), Krničko sedlo (1803 m), Krnička gora (2061 m) in Mrzla gora (2203 m). Zelo lepo, a zelo zahtevno, je prečenje tega grebena. Edini vrh na katerega vodijo označene poti je Mrzla gora, vsi ostali pa so dosegljivi po neoznačenih pastirsko-lovskih poteh in brezpotjih.<br>Na Matkovo kopo vodijo takšne poti iz Matkovega kota, od kmetij Kočnar, Matk in Perk, s Pavličevega vrha in iz Belske Kočne. Vzpon na sam vrh poteka po zelo zahtevnem brezpotju. Najlažje dostopna je iz Matkove krnice nad Matkovim kotom.<br>Pristop je iz vseh smeri zelo zahteven, tako tehnično, orientacijsko, kot tudi kondicijsko. Zato je gora primerna le za izkušene gornike s primerno opremo.<br>Domačini so v teh koncih zelo gostoljubni. Iz pogovorov z njimi pa je zaznati, da si želijo, da bi ta njihov kotiček tudi v prihodnje ostal tako samoten, kot je bil v preteklosti.",
